Geneid,WT1-BL_S30_L001,WT1-BL_S30_L002,WT2-BL_S31_L001,WT2-BL_S31_L002,WT3-BL_S32_L001,WT3-BL_S32_L002,atpA1-BL_S33_L001,atpA1-BL_S33_L002,atpA2-BL_S34_L001,atpA2-BL_S34_L002,atpA3-BL_S35_L001,atpA3-BL_S35_L002
b1830,218.66150518763124,217.32091680943154,210.06257895787212,208.15272929921204,266.7486517796873,263.00612263956054,308.69258414690205,307.6665915508675,248.63684501960614,248.4486922738087,231.9415086080459,230.1046950636218
b1831,733.2080667958213,741.541336424799,693.3572489623602,710.0714187902641,799.5402044749991,778.2016479536447,747.1072712391762,724.1619965170213,648.2434333613634,643.7964023161106,625.4973457746138,618.4055091587192
b1832,261.8699181793885,266.8150916314795,292.53197658385824,291.3314497467791,177.1412715539416,184.31518954759457,348.60912144689473,360.3611785910404,356.3107981875715,352.34719606129363,327.5662832251794,333.91336096723916
b1833,10.716152964756862,9.816887266862485,12.391547123953773,12.693764929975996,8.951555565378836,9.85865777090762,12.570377861315434,12.91102354976459,14.05068742833749,13.043381454309989,12.605590358729865,12.21777859296458
b1834,20.710363800213074,20.915931241705433,19.67100786719454,20.212134388360266,17.897521777930752,18.597386224448375,26.496436549181187,24.873269976563048,23.6411669288024,24.072213867952705,21.520449036497094,23.958636236504056
b1835,30.610580305080553,28.480545827183285,25.83606865190399,26.80940140000983,44.20379619440055,42.440375348202544,20.972164388307885,19.318634837732805,13.336821857381633,12.201663826542092,12.614306014363631,13.419656282583102
b1836,13.872058212247149,15.566388701020603,16.22195854258124,13.302474529778042,33.97254243484775,25.83624225485075,19.457944754585917,16.289337150700042,13.26008525290878,13.885132875722933,13.420135443543046,13.238504399465418
b1837,4.439379740377705,5.1239362807526145,6.777347102645721,5.886501848230201,4.862012413682921,5.51970199615351,8.49431239191241,13.601895957179218,9.69950680536846,11.630348463426406,8.834922500332505,10.39899564333008
b1838,4.2627312314650885,4.024278722782875,6.661999974705299,3.4405124957692497,4.6178017445025,3.943044348343045,7.618265373064571,7.863553906552687,7.706457461799598,8.407615519823752,7.207790654761373,6.946230618897587
b4432,0.4476685452481719,1.3563360743168686,1.304729923503989,3.061709939636761,1.287003285974891,0.6493767054298247,2.2743392205526134,0.8348989845838907,2.567516507303416,2.376479871783724,1.0394026470979416,1.5729573242011885
b4433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b1839,150.9611637028689,151.74042880544584,151.6742177740427,149.75521599486473,105.77009461345303,115.51563475770777,156.71055698957102,170.31939285511368,161.4882799700819,150.17432401897958,137.43212778295006,135.94276008924734
b1840,104.05191277594164,102.90131829800097,106.16785164481945,110.86085448589517,68.3689168274588,69.73497504724222,137.6000096248364,133.05592889712204,120.86052122428192,130.65368127334798,120.14684985560994,117.62045145916791
b1841,159.59443327236696,151.6685139102774,149.68325586410566,139.74927166762598,96.46232628746915,95.92996749226083,214.6049947864569,213.31557736253794,224.8733657756624,224.7130232798783,209.96487819456874,215.4434205969002
b1842,46.38698830762009,51.638630569662716,61.708265472967895,54.59197339493327,50.26184261417669,49.19145675071296,62.32459213125524,58.98507111865408,63.99155139126206,75.04476383782999,65.78383853061432,63.28145771822386
b1843,13.9928786076354,14.974060363843257,13.504054002781013,12.494492747793592,10.301250045428654,12.90450877639542,28.93228872017781,25.14608996491024,36.672107921667056,33.63046207929501,30.87516295397782,32.12631661240134
b1844,34.068724161450625,35.89073919730791,37.29074242903709,37.32370212128623,16.016040892131976,19.35919614136093,48.51923670512242,50.179569740118964,52.491448593758726,54.95263479742318,48.18564066546355,44.311686671513826
b1845,15.626912090894944,17.422875039065662,16.32948736866128,16.71111717521017,10.587438967786971,11.08404010743037,21.61118840140824,20.907717803175043,23.436945119230923,23.237530676944818,22.565275129427608,21.866218329248028
b1846,13.744780910468116,14.81283397526665,14.786939133045209,15.68231688561998,8.309621216112628,7.850242838973881,32.8908296755179,29.762883801954214,48.850243365219335,46.56591193394841,36.19640975893802,35.76174086173773
b1847,58.32481618090468,60.45383645526614,66.27199611448833,64.81660770169796,54.25842424681445,52.27997857047732,73.88156498280004,71.88082686322258,69.77124223021346,77.52879789507422,68.30360252357903,68.51103012076288
b1848,69.6701480316124,62.96630975935172,59.9607841133792,61.11996710132019,51.326811459910424,53.21169759407554,60.103374990623756,65.55248109887536,64.59671542544356,68.86075009924524,61.206885775499416,60.52552398003015
b1849,11.98035448657364,13.924590198075808,14.046965079737605,12.663822912812368,16.231451111328223,16.030076026148954,11.734180424521279,12.134715012578074,11.945448584728588,11.01510972724676,13.008842629836495,11.309994534657797
