Geneid,WT1-BL_S30_L001,WT1-BL_S30_L002,WT2-BL_S31_L001,WT2-BL_S31_L002,WT3-BL_S32_L001,WT3-BL_S32_L002,atpA1-BL_S33_L001,atpA1-BL_S33_L002,atpA2-BL_S34_L001,atpA2-BL_S34_L002,atpA3-BL_S35_L001,atpA3-BL_S35_L002
b1984,2.323501333883008,2.7362364149323417,3.980659574784736,3.7573523253137133,3.456795666338928,3.5662952321188817,3.0703487895106742,2.8024246599315608,2.6690843271814986,2.845122700925381,2.7180768520326497,0.9547585696755824
b1985,2.3845495423491903,2.244917335618487,2.4959908536613584,2.4934957539975495,1.913857564840739,1.9235013292071979,2.6401228984179017,2.682969857868517,2.8255295209233853,2.988125155066892,2.7572305363808196,2.7214357875207824
b1986,0.8488711400125311,1.7769999548984836,0.8304662395040706,1.3591756542219302,1.3421976349221578,0.8275711174281908,0.7990677359634575,1.6964588927774809,1.7212639826232239,2.2827493093822113,1.9221885322946894,0.0
b1987,2.598739617063704,2.783170939470132,2.9127474583441835,3.056288859045279,3.1158305172555782,3.0432606078364963,2.963589590738839,2.837727338230607,2.7156302829645407,2.6865376897444246,2.856582122390872,2.5906642790644625
b1988,2.2571048309250274,2.1858401132957046,2.62163897951868,2.4688091722603462,1.3364760549618397,1.5479823519448335,2.2808033497416216,2.309769803225831,2.374093819016906,2.236569059654995,2.207474680431084,2.3769995705195694
b1989,2.889225994497104,2.7362364149323417,2.2902178854719137,3.4822036963538037,2.4870018598618917,2.4977835379099242,3.408670177480164,3.69512950629031,3.236225623904898,3.466198216000657,4.292769739684201,3.6157768026344246
b1990,4.547355285219867,4.556964539717596,4.641742522364442,4.87007129316177,4.566803806234771,4.571728340567874,4.54613348067893,4.747456518188138,4.925012616539711,4.899493280326082,4.805744730804528,4.585254142005642
b1991,4.961604609083183,4.690563740599233,4.95475512063492,4.9626856128792225,4.006498971167262,3.8653624328070935,5.118647260632855,5.14911383173557,5.4891964574131356,5.413607791297777,5.32445026666796,5.348631578469994
b1992,4.338459564239064,4.442524059930719,4.50483714028921,4.4024511481335065,3.092254346188622,3.391803663006959,4.2812318229630355,4.45842743022561,4.649174154233165,4.728559024981898,4.771609326011001,4.690607558658202
b1993,3.984630853124065,3.9249893691459876,4.279171741968308,3.973404011668552,3.047242467491853,3.420208920692322,4.376851048662329,4.293696886017052,4.7495815063060025,4.722453249023954,4.610602268300663,4.660582490976807
b4639,3.1206572915638793,3.2450389270359454,4.056302870973266,3.202383138111373,2.814673794141461,2.132157416950251,3.988009461010092,3.4314184881599914,3.463880392331748,3.924516233068267,3.9656291578023395,2.9178140387914286
b1994,4.655593392050691,4.562352412371263,4.924235386727753,4.726146447820646,4.512670372679599,4.463754442471093,4.9291422843611405,4.9825220229225975,4.8785435028150745,4.883295973070165,5.078181788514466,5.02444381013375
b4640,3.373871371031304,3.2534885215580607,3.850753373281787,3.995924511527033,2.4562834938128266,2.680929866391932,3.848006715648463,3.762233011841539,3.5349588113707453,3.907073013612073,3.6782970591645565,3.818741050248164
